ids;labels;parents;values;counts;avgs
COHR|Information Technology|Electronic Equipment Instruments and Components|NYSE;COHR;Information Technology|Electronic Equipment Instruments and Components|NYSE;0.23;1;0.23
DELL|Technology|Computer Hardware|NYSE;DELL;Technology|Computer Hardware|NYSE;1.27;1;1.27
STMPA.PA|Technology|Semiconductors|EPA;STMPA.PA;Technology|Semiconductors|EPA;-3.91;1;-3.91
CFR|Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX;CFR;Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX;-1.14;1;-1.14
ALV|Financial Services|Insurance|XETRA;ALV;Financial Services|Insurance|XETRA;-3.78;1;-3.78
CVX|Energy|Oil and Gas Integrated|NYSE;CVX;Energy|Oil and Gas Integrated|NYSE;1.91;1;1.91
PFE|Healthcare|Pharmaceuticals|NYSE;PFE;Healthcare|Pharmaceuticals|NYSE;-0.36;1;-0.36
BA|Industrials|Aerospace and Defense|NYSE;BA;Industrials|Aerospace and Defense|NYSE;-0.14;1;-0.14
SAN.MC|Financials|Banks|BME;SAN.MC;Financials|Banks|BME;-1.07;1;-1.07
SLV|Financial Services|Exchange Traded Funds|NYSE;SLV;Financial Services|Exchange Traded Funds|NYSE;0.77;1;0.77
KLAC|Technology|Semiconductors|NASDAQ;KLAC;Technology|Semiconductors|NASDAQ;-3.02;1;-3.02
ASTS|Communication Services|Telecommunications|NASDAQ;ASTS;Communication Services|Telecommunications|NASDAQ;5.07;1;5.07
BBVA.MC|Financials|Banking|BME;BBVA.MC;Financials|Banking|BME;-2.35;1;-2.35
NASDAQ|Consumer Discretionary|E-commerce|NASDAQ;NASDAQ;Consumer Discretionary|E-commerce|NASDAQ;0;1;0
AU|Basic Materials|Gold Mining|NYSE;AU;Basic Materials|Gold Mining|NYSE;0.54;1;0.54
MRK|Healthcare|Pharmaceuticals|NYSE;MRK;Healthcare|Pharmaceuticals|NYSE;-0.1;1;-0.1
ORCL|Technology|Software|NYSE;ORCL;Technology|Software|NYSE;1.77;1;1.77
FBK.MI|Financials|Diversified Financial Services|BIT;FBK.MI;Financials|Diversified Financial Services|BIT;-1.89;1;-1.89
REP.MC|Energy|Oil and Gas|BME;REP.MC;Energy|Oil and Gas|BME;1.45;1;1.45
UCG.MI|Financials|Banking|BIT;UCG.MI;Financials|Banking|BIT;-2.48;1;-2.48
JPM|Financials|Banking|NYSE;JPM;Financials|Banking|NYSE;-0.6;1;-0.6
ENEL.MI|Utilities|Electric Utilities|BIT;ENEL.MI;Utilities|Electric Utilities|BIT;1.64;1;1.64
MU|Technology|Semiconductors|NASDAQ;MU;Technology|Semiconductors|NASDAQ;-0.5;1;-0.5
RCL|Consumer Cyclical|Travel and Leisure|NYSE;RCL;Consumer Cyclical|Travel and Leisure|NYSE;-2.38;1;-2.38
EWY|Financial|ETF|NYSE;EWY;Financial|ETF|NYSE;-0.5;1;-0.5
RKLB|Industrials|Aerospace and Defense|NASDAQ;RKLB;Industrials|Aerospace and Defense|NASDAQ;0.4;1;0.4
PATH|Technology|Software|NYSE;PATH;Technology|Software|NYSE;1;1;1
QBTS|Technology|Quantum Computing|NYSE;QBTS;Technology|Quantum Computing|NYSE;-1.12;1;-1.12
MRNA|Healthcare|Biotechnology|NASDAQ;MRNA;Healthcare|Biotechnology|NASDAQ;-2.11;1;-2.11
RHM.DE|Industrials|Aerospace and Defense|XETRA;RHM.DE;Industrials|Aerospace and Defense|XETRA;2.11;1;2.11
ENI.MI|Energy|Oil and Gas|BIT;ENI.MI;Energy|Oil and Gas|BIT;2.53;1;2.53
A2A.MI|Utilities|Electric Utilities|BIT;A2A.MI;Utilities|Electric Utilities|BIT;1.43;1;1.43
BAMI.MI|Financials|Banking|BIT;BAMI.MI;Financials|Banking|BIT;-0.93;1;-0.93
LDO.MI|Industrials|Aerospace and Defense|BIT;LDO.MI;Industrials|Aerospace and Defense|BIT;2.3;1;2.3
NEXI.MI|Financials|Financial Services|BIT;NEXI.MI;Financials|Financial Services|BIT;-2.55;1;-2.55
ELE.MC|Utilities|Electric Utilities|BME;ELE.MC;Utilities|Electric Utilities|BME;1.85;1;1.85
IFX.DE|Technology|Semiconductors|XETRA;IFX.DE;Technology|Semiconductors|XETRA;-1.62;1;-1.62
FCT.MI|Industrials|Shipbuilding|BIT;FCT.MI;Industrials|Shipbuilding|BIT;0.08;1;0.08
PST.MI|Financials|Postal Services and Financials|BIT;PST.MI;Financials|Postal Services and Financials|BIT;0.47;1;0.47
RACE.MI|Consumer Cyclical|Auto Manufacturers|BIT;RACE.MI;Consumer Cyclical|Auto Manufacturers|BIT;-1.56;1;-1.56
ENR.DE|Industrials|Energy Equipment and Services|XETRA;ENR.DE;Industrials|Energy Equipment and Services|XETRA;-0.73;1;-0.73
CBK.DE|Financials|Banking|XETRA;CBK.DE;Financials|Banking|XETRA;-3.1;1;-3.1
MS|Financials|Investment Banking|NYSE;MS;Financials|Investment Banking|NYSE;-1.31;1;-1.31
RBI|Financials|Banks|VIENNA;RBI;Financials|Banks|VIENNA;0;1;0
INTC|Technology|Semiconductors|NASDAQ;INTC;Technology|Semiconductors|NASDAQ;-2;1;-2
MCHI|Financial|ETF|NASDAQ;MCHI;Financial|ETF|NASDAQ;-2.2;1;-2.2
SREN|Financial Services|Insurance|SIX;SREN;Financial Services|Insurance|SIX;0;1;0
IONQ|Technology|Quantum Computing|NYSE;IONQ;Technology|Quantum Computing|NYSE;-0.91;1;-0.91
BMPS.MI|Financials|Banking|BIT;BMPS.MI;Financials|Banking|BIT;-1.85;1;-1.85
SMCI|Technology|Computer Hardware|NASDAQ;SMCI;Technology|Computer Hardware|NASDAQ;-2.03;1;-2.03
MSFT|Technology|Software|NASDAQ;MSFT;Technology|Software|NASDAQ;-1.82;1;-1.82
AZM.MI|Financials|Asset Management|BIT;AZM.MI;Financials|Asset Management|BIT;-2.29;1;-2.29
AMZN|Consumer Discretionary|E-commerce|NASDAQ;AMZN;Consumer Discretionary|E-commerce|NASDAQ;-1.06;1;-1.06
SPCX|Industrials|Aerospace and Defense|NASDAQ;SPCX;Industrials|Aerospace and Defense|NASDAQ;-5.43;1;-5.43
LUNR|Industrials|Space and Satellite Technology|NASDAQ;LUNR;Industrials|Space and Satellite Technology|NASDAQ;0.6;1;0.6
STLAM.MI|Consumer Cyclical|Auto Manufacturers|BIT;STLAM.MI;Consumer Cyclical|Auto Manufacturers|BIT;-3.12;1;-3.12
G.MI|Financials|Insurance|BIT;G.MI;Financials|Insurance|BIT;0.38;1;0.38
